Season,TeamID,TeamName,APRank,KenPom,Seed,TourneyWins,Appearances,WFlag,LFlag,RankW,RankL,LastTenW,LastTenL,HomeW,HomeL,AwayW,AwayL,NeutW,NeutL,Points,PointsAllowed,FGM,FGA,FGM3,FGA3,FTM,FTA,OR,DR,Ast,TO,Stl,Blk,PF,FGM_Allowed,FGA_Allowed,FGM3_Allowed,FGA3_Allowed,FTM_Allowed,FTA_Allowed,OR_Allowed,DR_Allowed,Ast_Allowed,TO_Allowed,St_Allowed,Bk_Allowed,PF_Allowed
2003,1104,alabama,,33,10,0,16,17,11,3,4,4,6,13,2,1,8,3,1,69.2857,65.0000,24.0357,57.1786,6.3571,19.8571,14.8571,20.9286,13.5714,23.9286,12.1071,13.2857,6.6071,3.7857,18.0357,23.2500,55.5000,6.3571,19.1429,12.1429,17.1429,10.8929,22.6429,11.6786,13.8571,5.5357,3.1786,19.2500
2003,1112,arizona,2,3,1,3,32,25,3,3,1,9,1,14,1,11,1,0,1,85.2143,70.2500,30.3214,65.7143,7.0357,20.0714,17.5357,25.0000,15.1786,27.6429,17.6429,14.7857,8.4643,4.2143,17.7500,26.3571,64.6786,6.3214,19.9643,11.2143,17.7143,13.1071,23.2857,15.4643,16.8571,5.9643,2.3929,22.0714
2003,1113,arizona st,,32,10,1,7,18,11,0,5,6,4,12,3,4,6,2,2,75.9655,69.1724,27.2069,56.8966,4.0000,12.5862,17.5517,26.2069,13.6897,23.3103,15.5517,14.0000,5.2069,4.2414,19.4138,24.7931,55.6552,5.4483,15.8966,14.1379,20.5172,11.0000,20.5517,14.0690,15.5172,6.0000,3.9310,22.8621
2003,1120,auburn,,45,10,2,9,19,11,0,6,4,6,13,4,3,5,3,2,70.1000,65.5667,25.7000,54.7000,5.6333,16.3333,13.0667,19.7333,11.9333,22.5667,13.4000,15.9000,8.0333,4.9667,16.3667,23.8000,56.6333,6.9000,20.7000,11.0667,16.5333,12.2333,20.6000,12.6667,15.8000,7.8333,2.6667,19.1333
2003,1122,austin peay,,123,13,0,5,20,7,1,1,9,1,11,0,6,7,3,0,69.7037,67.7037,23.5556,52.0741,6.0000,17.1852,16.5926,24.0000,10.6296,24.2222,13.4074,15.2222,7.0370,4.6667,18.6667,24.2963,56.7778,6.2963,17.5556,12.8148,18.6667,11.6667,22.5185,13.3333,14.0000,6.8148,3.2593,20.2593
2003,1139,butler,,51,12,2,15,24,5,0,1,8,2,11,0,10,5,3,0,68.5862,60.9310,24.0690,50.6552,8.4828,21.8621,11.9655,16.5517,7.8276,20.3793,12.9655,10.4138,6.3448,1.8621,16.0690,23.0345,51.6207,4.8966,14.1724,9.9655,15.0000,10.4483,20.2069,9.6207,12.0000,4.7586,2.8621,16.8276
2003,1140,brigham young,,26,12,0,18,23,8,0,1,7,3,13,1,6,5,4,2,72.4516,63.6774,24.0323,51.2581,6.1935,16.1290,18.1935,24.1613,10.8710,24.4194,13.4194,13.7419,6.9355,2.5161,21.4194,20.9677,51.2581,5.0000,16.2258,16.7419,23.4839,10.4194,20.1935,10.7742,14.4839,5.4839,2.2258,21.3871
2003,1141,c michigan,,50,11,1,2,23,6,0,0,9,1,11,1,9,5,3,0,79.3448,73.2414,26.6207,52.6897,6.8276,17.9310,19.2759,25.1724,10.5862,23.2759,15.6207,18.2414,7.1034,4.0000,20.9655,26.3448,57.9310,4.9655,13.8966,15.5862,21.9655,12.2414,18.8966,11.7931,16.0690,8.4483,2.4828,21.6897
2003,1143,california,,40,8,1,14,21,8,1,5,6,4,13,1,7,4,1,3,74.4828,69.7586,27.3448,58.7241,6.4138,17.0345,13.3793,19.5172,11.2414,24.3793,16.0000,14.1724,6.5517,2.7931,17.1034,25.3793,58.7931,7.1034,21.4483,11.8966,17.4483,11.1724,23.0000,16.0345,14.9310,5.9310,2.5172,19.1034
2003,1153,cincinnati,,35,8,0,23,17,11,1,6,4,6,12,3,3,7,2,1,67.3214,61.5000,22.8929,56.6786,6.6786,19.5000,14.8571,21.5357,12.1429,23.3929,12.2857,10.6071,5.1786,4.2500,18.9643,21.2500,53.1071,5.9286,17.1429,13.0714,19.7143,11.1071,24.1429,11.7500,13.9286,4.1429,3.0357,20.0000
